,Title,Size,Area,Link,Filename,Src,is_Abstract,is_Animals,is_Architecture,is_Art-For-Kids,is_Astronomy-Space,is_Book-Illustration,is_Botanical,is_Comics,is_Conde-Nast-Magazines,is_Costume-Fashion,is_Cuisine,is_Dance,is_Disney,is_Education,is_Fantasy,is_Figurative,is_Geodes-And-Minerals,is_Geometrics-Art,is_Hobbies,is_Holidays,is_Home-Hearth,is_Humor,is_Japandi,is_Maps,is_Maximalist-Art,is_Motivational,is_Movies,is_Museums,is_Music,is_People,is_Places,is_Religion-Spirituality,is_Scenic,is_Performing-Arts,is_Publications,is_Seasons,is_Sports,is_Still-Life,is_Television,is_The-New-Yorker,is_Transportation,is_Typography-Symbols,is_World-Culture,num_colors,dom_color,warm_cool,complexity,brightness,sharpness
42000,Roses from a Victorian Garden,"(16, 16)",256,/products/p21297500934-sa-i7363695/albert-williams-roses-from-a-victorian-garden.htm?upi=PJE53B0&PODConfigID=8880742&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_730.jpg,https://imgc.artprintimages.com/img/print/albert-williams-roses-from-a-victorian-garden_u-l-pje53b0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Olive,2,82,102.77952222222223,27199.268323305554
42001,Blue Essence,"(16, 12)",192,/products/p30952686465-sa-i9056549/megan-aroon-duncanson-blue-essence.htm?upi=PSGXY20&PODConfigID=8880730&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_731.jpg,https://imgc.artprintimages.com/img/print/megan-aroon-duncanson-blue-essence_u-l-psgxy20.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Navy,3,156,94.17214814814815,76230.49333333333
42002,Close-up of White Flower,"(16, 16)",256,/products/p12818247731-sa-i6396752/clive-nichols-close-up-of-white-flower.htm?upi=PZL51C0&PODConfigID=14258395&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_732.jpg,https://imgc.artprintimages.com/img/print/clive-nichols-close-up-of-white-flower_u-l-pzl51c0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,White,2,34,203.5411222222222,19309.534486222226
42003,Way to Fall,"(9, 12)",108,/products/p17081575607-sa-i7007417/philippe-sainte-laudy-way-to-fall.htm?upi=Q11OK2N0&PODConfigID=4990623&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_733.jpg,https://imgc.artprintimages.com/img/print/philippe-sainte-laudy-way-to-fall_u-l-q11ok2n0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,Olive,3,77,109.77423703703704,100345.60112488891
42004,Sunflower Duo,"(12, 16)",192,/products/p48767110992-sa-i10972782/rachel-mcnaughton-sunflower-duo.htm?upi=F994KJ0&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_734.jpg,https://imgc.artprintimages.com/img/print/rachel-mcnaughton-sunflower-duo_u-l-f994kj0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,White,3,3,186.70013333333333,30116.689643209877
42005,"Bigtooth Aspen Trees in White River National Forest near Aspen, Colorado, USA","(12, 9)",108,/products/p14092826-sa-i2802440/tom-haseltine-bigtooth-aspen-trees-in-white-river-national-forest-near-aspen-colorado-usa.htm?upi=PXPPOO0&PODConfigID=4990619&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_735.jpg,https://imgc.artprintimages.com/img/print/tom-haseltine-bigtooth-aspen-trees-in-white-river-national-forest-near-aspen-colorado-usa_u-l-pxppoo0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Olive,3,115,147.36647407407406,112311.17948622223
42006,Marche des Fleurs Blue Gold,"(18, 12)",216,/products/p48275328561-sa-i10863342/danhui-nai-marche-des-fleurs-blue-gold.htm?upi=Q1AYTE50&PODConfigID=9436090&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_736.jpg,https://imgc.artprintimages.com/img/print/danhui-nai-marche-des-fleurs-blue-gold_u-l-q1ayte50.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,White,2,55,169.6528,36864.83934974999
42007,Floral Cluster I,"(12, 9)",108,/products/p48880418024-sa-i11050155/tim-o-toole-floral-cluster-i.htm?upi=Q1C4ALZ0&PODConfigID=9201946&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_737.jpg,https://imgc.artprintimages.com/img/print/tim-o-toole-floral-cluster-i_u-l-q1c4alz0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,White,3,73,203.1436888888889,41266.30987155555
42008,"Nympheas, 1908","(12, 16)",192,/products/p28074801725-sa-i8559625/claude-monet-nympheas-1908.htm?upi=PPOYPB0&PODConfigID=8880730&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_738.jpg,https://imgc.artprintimages.com/img/print/claude-monet-nympheas-1908_u-l-ppoypb0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,White,2,54,185.45154074074074,29600.335783654315
42009,Chevrolet,"(12, 9)",108,/products/p14624968511-sa-i6780285/amy-sancetta-chevrolet.htm?upi=Q10OW5O0&PODConfigID=14258387&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_739.jpg,https://imgc.artprintimages.com/img/print/amy-sancetta-chevrolet_u-l-q10ow5o0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,White,3,134,99.32897777777778,44624.486788888884
